"","rank","name","state_name","early_career_pay","mid_career_pay","make_world_better_percent","stem_percent","state","state_code","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total"
"676",23,"University of Science and Arts of Oklahoma","Oklahoma",37300,67400,49,11,"Oklahoma","OK","Public","4 Year",6350,7215,13565,17565,23915
"677",1,"Oregon Health & Science University","Oregon",65400,108300,79,10,"Oregon","OR","Public","4 Year",NA,19176,19176,33666,33666
"678",2,"Oregon Institute of Technology","Oregon",61200,106800,60,27,"Oregon","OR","Public","4 Year",9058,9987,19045,28056,37114
"679",3,"University of Portland","Oregon",58500,104900,52,28,"Oregon","OR","Private","4 Year",13450,45904,59354,45904,59354
"680",3,"Reed College","Oregon",56100,104900,44,26,"Oregon","OR","Private","4 Year",14210,56340,70550,56340,70550
"681",5,"Oregon State University","Oregon",56200,104800,53,34,"Oregon","OR","Public","4 Year",12855,11166,24021,30141,42996
"682",6,"Willamette University","Oregon",52200,97700,49,14,"Oregon","OR","Private","4 Year",12440,50074,62514,50074,62514
"683",7,"University of Oregon","Oregon",51800,95800,46,13,"Oregon","OR","Public","4 Year",12963,11898,24861,35478,48441
"684",8,"Pacific University","Oregon",50200,94000,66,8,"Oregon","OR","Private","4 Year",12528,44298,56826,44298,56826
"685",8,"Linfield College-Online and Continuing Education","Oregon",50900,94000,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"686",10,"Lewis & Clark College","Oregon",50000,93200,51,12,"Oregon","OR","Private","4 Year",12490,50934,63424,50934,63424
"687",11,"Linfield College-McMinnville Campus","Oregon",52100,92000,48,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"688",12,"Portland State University","Oregon",50800,90500,48,16,"Oregon","OR","Public","4 Year",10428,9105,19533,27060,37488
"689",13,"George Fox University","Oregon",51200,89600,52,8,"Oregon","OR","Private","4 Year",11250,36020,47270,36020,47270
"690",14,"Concordia University-Portland","Oregon",48000,86100,69,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"691",15,"Pacific Northwest College of Art","Oregon",46300,85000,NA,0,"Oregon","OR","Private","4 Year",12860,38250,51110,38250,51110
"692",16,"Southern Oregon University","Oregon",46000,81200,54,6,"Oregon","OR","Public","4 Year",13199,9654,22853,25584,38783
"693",17,"Northwest Christian University","Oregon",45200,81100,62,5,"Oregon","OR","Private","4 Year",9300,30050,39350,30050,39350
"694",18,"Warner Pacific College","Oregon",45500,80500,58,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"695",19,"Marylhurst University","Oregon",46200,79800,63,0,"Oregon","OR","Private","4 Year",NA,20835,20835,20835,20835
"696",20,"Western Oregon University","Oregon",44500,79300,50,5,"Oregon","OR","Public","4 Year",10415,9540,19955,26415,36830
"697",21,"Corban University","Oregon",42500,77300,63,1,"Oregon","OR","Private","4 Year",10228,33040,43268,33040,43268
"698",22,"Multnomah University","Oregon",40500,76400,82,0,"Oregon","OR","Private","4 Year",8870,25900,34770,25900,34770
"699",23,"Eastern Oregon University","Oregon",44000,73900,56,5,"Oregon","OR","Public","4 Year",10040,8679,18719,20739,30779
"700",24,"New Hope Christian College-Eugene","Oregon",34200,61600,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"701",1,"Carnegie Mellon University","Pennsylvania",75900,136100,45,66,"Pennsylvania","PA","Private","4 Year",14418,55465,69883,55465,69883
"702",2,"Lehigh University","Pennsylvania",69500,134100,45,52,"Pennsylvania","PA","Private","4 Year",13600,52930,66530,52930,66530
"703",3,"University of Pennsylvania","Pennsylvania",72800,133900,41,21,"Pennsylvania","PA","Private","4 Year",15616,55584,71200,55584,71200
"704",4,"Swarthmore College","Pennsylvania",67500,123200,44,45,"Pennsylvania","PA","Private","4 Year",15474,52588,68062,52588,68062
"705",5,"Bucknell University","Pennsylvania",66700,122900,40,40,"Pennsylvania","PA","Private","4 Year",13662,56092,69754,56092,69754
"706",6,"Lafayette College","Pennsylvania",66500,122500,37,47,"Pennsylvania","PA","Private","4 Year",15640,52880,68520,52880,68520
"707",7,"Villanova University","Pennsylvania",65100,119500,41,23,"Pennsylvania","PA","Private","4 Year",14020,53308,67328,53308,67328
"708",8,"University of the Sciences","Pennsylvania",60700,115200,72,12,"Pennsylvania","PA","Private","4 Year",15938,25000,40938,25000,40938
"709",9,"Drexel University","Pennsylvania",61700,114800,47,28,"Pennsylvania","PA","Private","4 Year",14079,53279,67358,53279,67358
"710",10,"Haverford College","Pennsylvania",59300,112300,47,36,"Pennsylvania","PA","Private","4 Year",16402,54592,70994,54592,70994
"711",11,"Franklin and Marshall College","Pennsylvania",57200,109700,42,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
"712",12,"Gettysburg College","Pennsylvania",58400,109300,39,24,"Pennsylvania","PA","Private","4 Year",13010,54480,67490,54480,67490
"713",13,"Pennsylvania State University-Main Campus","Pennsylvania",58500,105500,47,37,NA,NA,NA,NA,NA,NA,NA,NA,NA
"714",14,"Saint Joseph's University","Pennsylvania",57300,105100,41,6,"Pennsylvania","PA","Private","4 Year",14840,44973,59813,44973,59813
"715",15,"La Salle University","Pennsylvania",55800,104800,40,5,"Pennsylvania","PA","Private","4 Year",15080,30560,45640,30560,45640
"716",16,"Thomas Jefferson University","Pennsylvania",63400,102500,83,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"717",17,"Muhlenberg College","Pennsylvania",53400,101900,43,20,"Pennsylvania","PA","Private","4 Year",11765,52595,64360,52595,64360
"718",18,"Ursinus College","Pennsylvania",54400,101800,42,40,"Pennsylvania","PA","Private","4 Year",12750,52050,64800,52050,64800
"719",19,"Pennsylvania State University-Penn State Harrisburg","Pennsylvania",55000,100400,47,31,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720",19,"University of Pittsburgh-Pittsburgh Campus","Pennsylvania",55900,100400,50,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"721",21,"Dickinson College","Pennsylvania",55800,100100,46,25,"Pennsylvania","PA","Private","4 Year",13698,54661,68359,54661,68359
"722",21,"Widener University","Pennsylvania",55700,100100,57,13,"Pennsylvania","PA","Private","4 Year",14446,45948,60394,45948,60394
"723",23,"University of Scranton","Pennsylvania",56400,99700,42,12,"Pennsylvania","PA","Private","4 Year",15182,44532,59714,44532,59714
"724",24,"Grove City College","Pennsylvania",54400,98400,53,29,"Pennsylvania","PA","Private","4 Year",9770,17930,27700,17930,27700
"725",25,"Pennsylvania State University-Penn State Erie-Behrend College","Pennsylvania",58800,97900,44,32,NA,NA,NA,NA,NA,NA,NA,NA,NA
"726",1,"Brown University","Rhode-Island",68200,127600,45,43,"Rhode Island","RI","Private","4 Year",14670,55656,70326,55656,70326
"727",2,"Bryant University","Rhode-Island",60500,108600,37,8,"Rhode Island","RI","Private","4 Year",15702,43973,59675,43973,59675
"728",3,"Providence College","Rhode-Island",58900,106900,44,11,"Rhode Island","RI","Private","4 Year",14700,50390,65090,50390,65090
"729",4,"Rhode Island School of Design","Rhode-Island",55500,100600,39,0,"Rhode Island","RI","Private","4 Year",13400,50960,64360,50960,64360
"730",5,"University of Rhode Island","Rhode-Island",54500,99700,50,18,"Rhode Island","RI","Public","4 Year",12950,14138,27088,30862,43812
"731",6,"Salve Regina University","Rhode-Island",53000,93900,50,6,"Rhode Island","RI","Private","4 Year",14500,40550,55050,40550,55050
"732",7,"New England Institute of Technology","Rhode-Island",51700,93200,44,14,"Rhode Island","RI","Private","4 Year",13065,29940,43005,29940,43005
"733",8,"Roger Williams University","Rhode-Island",52900,92700,48,12,"Rhode Island","RI","Private","4 Year",15890,34522,50412,34522,50412
"734",9,"Rhode Island College","Rhode-Island",47200,83500,52,5,"Rhode Island","RI","Public","4 Year",11829,8929,20758,21692,33521
"735",10,"Johnson & Wales University-Online","Rhode-Island",46200,81600,43,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
